sample_id,audio_path,language,duration_sec,rms_db,peak_abs,clipping_ratio,silence_ratio_amp,dc_offset,zero_crossing_rate,spectral_centroid_mean,spectral_flatness_mean,speech_duration_sec,speech_ratio,num_speech_segments,max_silence_sec,mean_speech_segment_sec,vad_backend,quality_proxy,quality_proxy_mos_like,snr_db,snr_backend,asr_text,asr_avg_logprob,asr_detected_language,asr_confidence_proxy,asr_backend,asr_text_len,chars_per_sec,intelligibility_proxy,empty_transcript_flag,low_confidence_flag,speech_rate_proxy,possible_non_speech_flag,language_match,language_score,signal_score,vad_score,quality_score,snr_score,asr_score,language_score_pct,final_score,decision,reason_codes
assamese_0000,/content/subset_data/assamese/assamese_0000.flac,as,4.779,-33.44966506958008,0.094146728515625,0.0,0.3067226890756303,0.00003189211565768346,0.07516276041666667,1272.7974913946862,0.01013816799968481,3.9600000000000004,0.8286252354048965,1,0.5489999999999995,3.9600000000000004,energy_fallback,0.7357,3.9427,30.48,energy_percentile,Haldira morpora morba befaluta order koridya,-0.9398,bn,0.5301,faster_whisper/tiny/float16,44,9.21,0.7606,false,false,0.5842,false,false,0.0,69.1,99.83,73.57,100.0,76.06,40.0,80.05,keep,[]
assamese_0001,/content/subset_data/assamese/assamese_0001.flac,as,11.008,-28.93683624267578,0.348358154296875,0.0,0.25932666060054593,0.000010649825526343193,0.07552649456521739,1122.2482868563761,0.006453248206526041,8.320000000000004,0.7558139534883725,10,0.8300000000000001,0.8320000000000004,energy_fallback,0.776,4.104,24.8,energy_percentile,แล้วมีถูกโดยมนายแล้ว. これはโอ�เชเพราะ stir. ถือบมี relationship. มีต้องปลาว finish line. ส wait to put a little back together. ความต้นได้ cleานich and be better. Basedถึงมากความส werdส etti promise.,-3.4346,th,0.0,faster_whisper/tiny/float16,196,17.81,0.5267,false,true,0.7562,false,false,0.0,74.61,98.86,77.6,82.67,45.0,40.0,73.78,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0002,/content/subset_data/assamese/assamese_0002.flac,as,0.928,-29.60747528076172,0.221832275390625,0.0,0.06593406593406594,0.000042391235183458775,0.06324869791666667,918.8931608937321,0.002064943313598633,0.85,0.915948275862069,1,0.07800000000000007,0.85,energy_fallback,0.8082,4.233,15.06,energy_percentile,I will...,-0.6839,en,0.6581,faster_whisper/tiny/float16,9,9.7,0.838,false,false,0.594,false,false,0.0,81.22,100.0,80.82,50.2,83.8,40.0,78.26,keep,[]
assamese_0003,/content/subset_data/assamese/assamese_0003.flac,as,12.448,-28.11459732055664,0.357086181640625,0.0,0.1737731295253419,3.54379494638124e-6,0.07545823317307693,1109.4394035406658,0.0061182924546301365,11.06,0.8884961439588689,6,0.4800000000000004,1.8433333333333335,energy_fallback,0.7989,4.1955,23.59,energy_percentile,Buhut dauna pitabuna Tilt pitabuna bhala bhala saul tialno Tiai ekhontamun Ruhontamun Not run bhala beseke tiabuna laga Ekhontamun tialno i saul ki ni to ki forpuriakoi Pitabung di lo ee,-1.0793,bn,0.4603,faster_whisper/tiny/float16,186,14.94,0.7507,false,false,0.6988,false,false,0.0,78.47,100.0,79.89,78.63,75.07,40.0,80.15,keep,[]
assamese_0004,/content/subset_data/assamese/assamese_0004.flac,as,5.536,-29.965803146362305,0.230316162109375,0.0,0.32971014492753625,0.000019975135728600435,0.10920101472701149,1379.4792146537693,0.020944640040397644,3.85,0.6954479768786128,5,0.6799999999999997,0.77,energy_fallback,0.76,4.0401,24.07,energy_percentile,con salón de salí a lo que lo precisamos de qué he quitado con la bola de halvo.,-1.1006,es,0.4497,faster_whisper/tiny/float16,80,14.45,0.6885,false,false,0.689,false,false,0.0,71.15,95.48,76.0,80.23,68.85,40.0,75.99,keep,[]
assamese_0005,/content/subset_data/assamese/assamese_0005.flac,as,8.606,-28.975370407104492,0.27105712890625,0.0,0.18975552968568102,3.937037035939284e-6,0.07606114951208179,1115.288761924124,0.006556052714586258,7.486000000000001,0.8698582384382989,5,0.3899999999999997,1.4972000000000003,energy_fallback,0.7897,4.1587,23.85,energy_percentile,هزیل مزلح preservationی,-3.0829,fa,0.0,faster_whisper/tiny/float16,23,2.67,0.561,false,true,0.0,false,false,0.0,77.16,100.0,78.97,79.5,45.0,40.0,74.37,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0006,/content/subset_data/assamese/assamese_0006.flac,as,8.032,-27.67217445373535,0.355926513671875,0.0,0.32709113607990015,0.00003613276203395799,0.09642779637896826,1254.6312542128785,0.010940252803266048,5.369999999999998,0.6685756972111552,10,0.52,0.5369999999999998,energy_fallback,0.7732,4.0927,27.09,energy_percentile,"Kahi lo it, tapisot, tavaba, karahi bitha kita di, hepare Noholek isamandami, motor have hot air puu",-1.434,bn,0.283,faster_whisper/tiny/float16,100,12.45,0.6138,false,true,0.649,false,false,0.0,73.16,94.12,77.32,90.3,45.0,40.0,73.69,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0007,/content/subset_data/assamese/assamese_0007.flac,as,7.84,-27.364086151123047,0.28985595703125,0.0,0.170076726342711,7.758335414109752e-7,0.07597140180386179,1069.7663106671616,0.005178945604711771,6.740000000000001,0.8596938775510206,5,0.29000000000000004,1.3480000000000003,energy_fallback,0.8046,4.2184,22.91,energy_percentile,"Azy kali ya, buari zero bilagya, haptnologa. Hepady bonay, medleylu, tab sort, nuriya, dp. Till bit hake bonay.",-1.3365,bn,0.3318,faster_whisper/tiny/float16,111,14.16,0.6906,false,true,0.6832,false,false,0.0,79.23,100.0,80.46,76.37,45.0,40.0,74.69,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0008,/content/subset_data/assamese/assamese_0008.flac,as,7.553,-26.419761657714844,0.358795166015625,0.0,0.1593625498007968,0.00001803685699997004,0.0714106177478903,1017.9548132697082,0.004276529420167208,6.389999999999999,0.8460214484310868,6,0.35000000000000053,1.0649999999999997,energy_fallback,0.8132,4.2526,24.3,energy_percentile,"Tudy bit hatu tenega tiktok Foto li rora bona Aha nilo, foto li rora bona Hapot de hath will u i Ammi foto li bit hatu",-1.2826,bn,0.3587,faster_whisper/tiny/float16,118,15.62,0.6973,false,true,0.7124,false,false,0.0,80.41,100.0,81.32,81.0,45.0,40.0,75.83,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0009,/content/subset_data/assamese/assamese_0009.flac,as,11.103,-25.556066513061523,0.531219482421875,0.0,0.19494584837545126,0.00001007993341772817,0.09677818804034583,1215.8301433083384,0.016502339392900467,9.0,0.810591731964334,5,0.6099999999999994,1.8,energy_fallback,0.8168,4.2672,27.0,energy_percentile,Kannu kip apur pita pan ek pothama dha nim oh ba sene ni gu ni nohalethat naikolri ballagas naikolra Sene ni du ballagag Sene ni di haneloi ruki pala hanelui Saloni sali,-1.982,bn,0.009,faster_whisper/tiny/float16,169,15.22,0.5468,false,true,0.7044,false,false,0.0,79.82,99.62,81.68,90.0,45.0,40.0,77.06,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
